"Variable","Metric","0","1","2","3","4","<=25","26-39","40-59","60-64",">=65","<=6","7-12","13-18","19-24","25-30","31-36","37-42","43-48","49-54",">54"
"Payment History (moral)","Empir. logits",-0.63,-0.22,0.81,0.61,1.49,,,,,,,,,,,,,,,
"Payment History (moral)","n",35,27,368,60,209,,,,,,,,,,,,,,,
"Payment History (moral)","L",-1.32,-0.97,0.59,0.08,1.14,,,,,,,,,,,,,,,
"Payment History (moral)","U",0.06,0.53,1.03,1.14,1.84,,,,,,,,,,,,,,,
"Account Status (laufkont)","Empir. logits",,0.13,0.46,1.04,1.86,,,,,,,,,,,,,,,
"Account Status (laufkont)","n",,190,189,43,277,,,,,,,,,,,,,,,
"Account Status (laufkont)","L",,-0.15,0.17,0.37,1.52,,,,,,,,,,,,,,,
"Account Status (laufkont)","U",,0.41,0.75,1.71,2.2,,,,,,,,,,,,,,,
"Occupation (beruf)","Empir. logits",,0.44,0.84,0.93,0.52,,,,,,,,,,,,,,,
"Occupation (beruf)","n",,13,140,444,102,,,,,,,,,,,,,,,
"Occupation (beruf)","L",,-0.63,0.48,0.72,0.12,,,,,,,,,,,,,,,
"Occupation (beruf)","U",,1.51,1.2,1.14,0.92,,,,,,,,,,,,,,,
"Age Group (dalter)","Empir. logits",,,,,,0.33,0.95,1.02,1.21,0.65,,,,,,,,,,
"Age Group (dalter)","n",,,,,,132,362,167,23,15,,,,,,,,,,
"Age Group (dalter)","L",,,,,,-0.01,0.72,0.68,0.26,-0.38,,,,,,,,,,
"Age Group (dalter)","U",,,,,,0.67,1.18,1.36,2.16,1.68,,,,,,,,,,
"Duration Group (dlaufzeit)","Empir. logits",,,,,,,,,,,1.82,1.11,0.8,0.93,0.6,0.23,1.73,-0.35,0,0
"Duration Group (dlaufzeit)","n",,,,,,,,,,,60,187,130,163,40,59,9,39,2,10
"Duration Group (dlaufzeit)","L",,,,,,,,,,,1.1,0.78,0.43,0.59,-0.04,-0.28,-0.01,-0.98,-2.26,-1.18
"Duration Group (dlaufzeit)","U",,,,,,,,,,,2.54,1.44,1.17,1.27,1.24,0.74,3.47,0.28,2.26,1.18
